Product Name,Price,Specifications
"Redmi Note 6 Pro (Black, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.9 cm (6.26 inch) FHD+ Display, 12MP + 5MP | 20MP + 2MP Dual Front Camera, 4000 mAh Li-polymer Battery, Qualcomm Snapdragon 636 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.9 cm (6.26 inch) FHD+ Display, 12MP + 5MP | 20MP + 2MP Dual Front Camera, 4000 mAh Li-polymer Battery, Qualcomm Snapdragon 636 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Redmi Note 6 Pro (Blue, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.9 cm (6.26 inch) FHD+ Display, 12MP + 5MP | 20MP + 2MP Dual Front Camera, 4000 mAh Li-polymer Battery, Qualcomm Snapdragon 636 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Motorola One Power (Black, 64 GB)","₹15,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.75 cm (6.2 inch) FHD+ Display, 16MP + 5MP | 12MP Front Camera, 5000 mAh Battery, Qualcomm Snapdragon 636 Processor, Android 9 Pie Update, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Redmi Note 6 Pro (Black, 64 GB)","₹15,999","6 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.9 cm (6.26 inch) FHD+ Display, 12MP + 5MP | 20MP + 2MP Dual Front Camera, 4000 mAh Li-polymer Battery, Qualcomm Snapdragon 636 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Honor 7S (Blue, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 256 GB, 13.84 cm (5.45 inch) Display, 13MP Rear Camera | 5MP Front Camera, 3020 mAh Battery, Mediatek MT6739 Cortex A53 Processor, 12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable"
"Honor 7S (Black, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 256 GB, 13.84 cm (5.45 inch) Display, 13MP Rear Camera | 5MP Front Camera, 3020 mAh Battery, Mediatek MT6739 Cortex A53 Processor, 12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable"
"Redmi Note 5 Pro (Black, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB, 15.21 cm (5.99 inch) Full HD+ Display, 12MP + 5MP | 20MP Front Camera, 4000 mAh Li Polymer Battery, Qualcomm Snapdragon 636 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Honor 7A (Gold, 32 GB)","₹8,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 14.48 cm (5.7 inch) HD+ Display, 13MP + 2MP | 8.0MP Front Camera, 3000 mAh Battery, Qualcomm Snapdragon Octa Core Processor, 12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable"
"Honor 7A (Black, 32 GB)","₹8,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 14.48 cm (5.7 inch) HD+ Display, 13MP + 2MP | 8.0MP Front Camera, 3000 mAh Battery, Qualcomm Snapdragon Octa Core Processor, 12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable"
"Realme 2 Pro (Black Sea, 128 GB)","₹17,990","8 GB RAM | 128 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 2MP | 16MP Front Camera, 3500 mAh Li-ion Battery, Qualcomm Snapdragon 660 Octa Core 2.0GHz AIE Processor, Dewdrop Notch Full Screen Display, Fingerprint Sensor and Face Unlock, Triple Slot (Dual Active 4G SIMs + Dedicated Memory), Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Redmi 6 (Black, 64 GB)","₹9,499","3 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 13.84 cm (5.45 inch) HD+ Display, 12MP + 5MP | 5MP Front Camera, 3000 mAh Lithium-polymer Battery, 2.0 GHz Mediatek P22 Octacore Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Micromax Spark Go (Silver, 8 GB)","₹3,999","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB, 12.7 cm (5.0 inch) Display, 5MP Rear Camera | 2MP Front Camera, 2000 mAh Polymer Battery, SC9832E Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
Niamia Cad 3,"₹1,950","32 MB RAM | 32 MB ROM |, 6.1 cm (2.4 inch) Display, 0.08MP Rear Camera, 1050 mAh Battery, 10 Days Replacement Warranty"
"Honor 7A (Blue, 32 GB)","₹8,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 14.48 cm (5.7 inch) HD+ Display, 13MP + 2MP | 8.0MP Front Camera, 3000 mAh Battery, Qualcomm Snapdragon Octa Core Processor, 12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable"
"Redmi 6 (Rose Gold, 64 GB)","₹9,499","3 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 13.84 cm (5.45 inch) HD+ Display, 12MP + 5MP | 5MP Front Camera, 3000 mAh Lithium-polymer Battery, 2.0 GHz Mediatek P22 Octacore Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Vivo Y95 (Starry Black, 64 GB)","₹16,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 15.8 cm (6.22 inch) HD+ Display, 13MP + 2MP | 20MP Front Camera, 4030 mAh Battery, Qualcomm Snapdragon 439 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Realme 2 Pro (Black Sea, 64 GB)","₹15,990","6 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 2MP | 16MP Front Camera, 3500 mAh Li-ion Battery, Qualcomm Snapdragon 660 Octa Core 2.0GHz AIE Processor, Dewdrop Notch Full Screen Display, Fingerprint Sensor and Face Unlock, Triple Slot (Dual Active 4G SIMs + Dedicated Memory), Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Realme 2 Pro (Black Sea, 64 GB)","₹13,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 2MP | 16MP Front Camera, 3500 mAh Li-ion Battery, Qualcomm Snapdragon 660 Octa Core 2.0GHz AIE Processor, Dewdrop Notch Full Screen Display, Fingerprint Sensor and Face Unlock, Triple Slot (Dual Active 4G SIMs + Dedicated Memory), Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹36,990","6 GB RAM | 128 GB ROM | Expandable Upto 512 GB, 16.0 cm (6.3 inch) FHD+ Display, 24MP + 5MP + 10MP +8MP | 24MP Front Camera, 3800 mAh Lithium-ion Battery, Qualcomm Snapdragon 660 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Realme 2 Pro (Blue Ocean, 64 GB)","₹13,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 16.0 cm (6.3 inch) FHD+ Display, 16MP + 2MP | 16MP Front Camera, 3500 mAh Li-ion Battery, Qualcomm Snapdragon 660 Octa Core 2.0GHz AIE Processor, Dewdrop Notch Full Screen Display, Fingerprint Sensor and Face Unlock, Triple Slot (Dual Active 4G SIMs + Dedicated Memory), Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Realme 2 (Diamond Blue, 32 GB)","₹9,499","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB, 15.75 cm (6.2 inch) HD+ Display, 13MP + 2MP | 8MP Front Camera, 4230 mAh Li-ion Battery, Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor, Notch Full Screen Display, Finger Print and Face Unlock, Triple Slot ( Dual Active 4G Sims + Dedicated Memory), Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Samsung Galaxy On6 (Blue, 64 GB)","₹11,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB, 14.22 cm (5.6 inch) HD+ Display, 13MP Rear Camera | 8MP Front Camera, 3000 mAh Battery, 1.6 GHz Exynos Octa Core Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹39,990","8 GB RAM | 128 GB ROM | Expandable Upto 512 GB, 16.0 cm (6.3 inch) FHD+ Display, 24MP + 5MP + 10MP +8MP | 24MP Front Camera, 3800 mAh Lithium-ion Battery, Qualcomm Snapdragon 660 Processor, Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
